start_timestamp,end_timestamp,ASIN,purchased_marketplace,preferred_marketplace,device_family,device_serial_number,device_software_version,content_type,total_reading_millis,    pageflips
2024-10-03T17:12:02Z,2024-10-03T17:12:43Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,41100,12
2024-10-03T17:13:23Z,2024-10-03T17:14:43Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,80400,5
2024-10-03T17:15:47Z,2024-10-03T17:18:37Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,170300,14
2024-10-03T17:19:16Z,2024-10-03T17:19:51Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,35400,5
2024-10-03T17:59:32Z,2024-10-03T18:08:33Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,540800,51
2024-10-03T18:08:59Z,2024-10-03T18:19:42Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,643400,76
2024-10-03T18:19:48Z,2024-10-03T18:26:46Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,418400,83
2024-10-03T18:27:21Z,2024-10-03T18:30:48Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,207100,18
2024-10-03T18:32:15Z,2024-10-03T18:59:58Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,1662500,229
2024-10-03T19:00:04Z,2024-10-03T19:01:55Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,111000,8
2024-10-03T19:05:08Z,2024-10-03T19:06:28Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,80200,8
2024-10-03T19:10:28Z,2024-10-03T19:16:42Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,373900,33
2024-10-03T19:39:37Z,2024-10-03T20:02:10Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,1353200,112
2024-10-03T20:04:06Z,2024-10-03T20:04:10Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,4600,1
2024-10-03T20:04:40Z,2024-10-03T20:07:24Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,163200,14
2024-10-03T20:09:38Z,2024-10-03T20:23:50Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,852000,88
2024-10-03T20:26:25Z,2024-10-03T20:28:53Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,148800,24
2024-10-03T20:47:24Z,2024-10-03T20:52:30Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,306300,26
2024-10-03T20:53:34Z,2024-10-03T20:55:59Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,145000,14
2024-10-03T20:56:19Z,2024-10-03T20:56:23Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,4200,1
2024-10-03T20:57:15Z,2024-10-03T21:01:08Z,7D093E3228654BF6802A7290EB95AD34,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,232800,20
2024-10-03T21:01:34Z,2024-10-03T21:05:33Z,0FCB149109D24F1FA04034BC16C244A7,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,239100,52
2024-10-03T21:22:51Z,2024-10-03T21:34:33Z,0FCB149109D24F1FA04034BC16C244A7,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,701700,80
2024-10-03T21:46:53Z,2024-10-03T22:41:31Z,0FCB149109D24F1FA04034BC16C244A7,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,3277800,380
2024-10-03T22:42:13Z,2024-10-03T22:56:10Z,0FCB149109D24F1FA04034BC16C244A7,,www.amazon.com,Kindle E-reader,G092AQ03247401W4,4289770037,Personal Document,837100,78
